Windows API DLLs
Function Names and Corresponding DLLs
Upl. Courtesy User Friendly, Inc.
June 24, 1991


    This list does not give the return values or the
calling parameters for each function.  To find this
out, search for the function name in the include file
"windows.h", which is supplied with the "Windows 3.0
Software Development Kit" (Microsoft Corp., 1990).

    If you do not have access to this file, the same
information will be found in the book "Microsoft
Windows Programmer's Reference" (Microsoft Press,
1990).  This book may be found in most major
bookstores.

I know that a list of declares would be more useful
and I will try to find the time to do this but I
thought at this point, anything would help.  Hope
so! -=- Jonathan Zuck



Function Name                   Windows DLL
-------------                   -----------
GetModuleHandle                 kernel.exe
GetModuleUsage                  kernel.exe
GetNearestColor                 gdi.exe
GetNextDlgGroupItem             user.exe
GetNextDlgTabItem               user.exe
GetNextWindow                   user.exe
GetNumTasks                     kernel.exe
GetObject                       gdi.exe
GetParent                       user.exe
GetPixel                        gdi.exe
GetPolyFillMode                 gdi.exe
GetProcAddress                  kernel.exe
GetProfileInt                   kernel.exe
GetProfileString                kernel.exe
GetProp                         user.exe
GetRelAbs                       gdi.exe
GetROP2                         gdi.exe
GetScrollPos                    user.exe
GetScrollRange                  user.exe
GetStockObject                  gdi.exe
GetStretchBltMode               gdi.exe
GetSubMenu                      user.exe
GetSysColor                     user.exe
GetSysModalWindow               user.exe
GetSystemMenu                   user.exe
GetSystemMetrics                user.exe
GetTempDrive                    kernel.exe
GetTempFileName                 kernel.exe
GetTextCharacterExtra           gdi.exe
GetTextColor                    gdi.exe
GetTextExtent                   gdi.exe
GetTextFace                     gdi.exe
GetTextMetrics                  gdi.exe
GetThresholdEvent               sound.drv
GetThresholdStatus              sound.drv
GetTickCount                    user.exe
GetTimerResolution              user.exe
GetTopWindow                    user.exe
GetUpdateRect                   user.exe
GetUpdateRgn                    user.exe
GetVersion                      kernel.exe
GetViewportExt                  gdi.exe
GetViewportOrg                  gdi.exe
GetWindow                       user.exe
GetWindowDC                     user.exe
GetWindowExt                    gdi.exe
GetWindowLong                   user.exe
GetWindowOrg                    gdi.exe
GetWindowRect                   user.exe
GetWindowTask                   user.exe
GetWindowText                   user.exe
GetWindowTextLength             user.exe
GetWindowWord                   user.exe
GlobalAddAtom                   user.exe
GlobalAlloc                     kernel.exe
GlobalCompact                   kernel.exe
GlobalDeleteAtom                user.exe
GlobalFindAtom                  user.exe
GlobalFlags                     kernel.exe
GlobalFree                      kernel.exe
GlobalGetAtomName               user.exe
GlobalHandle                    kernel.exe
GlobalLock                      kernel.exe
GlobalLRUNewest                 kernel.exe
GlobalLRUOldest                 kernel.exe
GlobalNotify                    kernel.exe
GlobalReAlloc                   kernel.exe
GlobalSize                      kernel.exe
GlobalUnlock                    kernel.exe
GlobalUnWire                    kernel.exe
GlobalWire                      kernel.exe
GrayString                      user.exe
HideCaret                       user.exe
HiliteMenuItem                  user.exe
InflateRect                     user.exe
InitAtomTable                   kernel.exe
InSendMessage                   user.exe
IntersectClipRect               gdi.exe
IntersectRect                   user.exe
InvalidateRect                  user.exe
InvalidateRgn                   user.exe
InvertRect                      user.exe
InvertRgn                       gdi.exe
IsChild                         user.exe
IsClipboardFormatAvailable      user.exe
IsDialogMessage                 user.exe
IsDlgButtonChecked              user.exe
IsIconic                        user.exe
IsRectEmpty                     user.exe
IsTwoByteCharPrefix             user.exe
IsWindow                        user.exe
IsWindowEnabled                 user.exe
IsWindowVisible                 user.exe
IsZoomed                        user.exe
KillTimer                       user.exe
LimitEmsPages                   kernel.exe
LineDDA                         gdi.exe
LineTo                          gdi.exe
LoadAccelerators                user.exe
LoadBitmap                      user.exe
LoadCursor                      user.exe
LoadIcon                        user.exe
LoadLibrary                     kernel.exe
LoadMenu                        user.exe
LoadMenuIndirect                user.exe
LoadResource                    kernel.exe
LoadString                      user.exe
LocalAlloc                      kernel.exe
LocalCompact                    kernel.exe
LocalFlags                      kernel.exe
LocalFree                       kernel.exe
LocalHandle                     kernel.exe
LocalInit                       kernel.exe
LocalLock                       kernel.exe
LocalNotify                     kernel.exe
LocalReAlloc                    kernel.exe
LocalShrink                     kernel.exe
LocalSize                       kernel.exe
LocalUnlock                     kernel.exe
LockResource                    kernel.exe
LockSegment                     kernel.exe
LPtoDP                          gdi.exe
lstrcat                         kernel.exe
lstrcmp                         user.exe
lstrcpy                         kernel.exe
lstrlen                         kernel.exe
MakeProcInstance                kernel.exe
MapDialogRect                   user.exe
MessageBeep                     user.exe
MessageBox                      user.exe
MoveTo                          gdi.exe
MoveWindow                      user.exe
OemToAnsi                       keyboard.drv
OffsetClipRgn                   gdi.exe
OffsetRect                      user.exe
OffsetRgn                       gdi.exe
OffsetViewportOrg               gdi.exe
OffsetWindowOrg                 gdi.exe
OpenClipboard                   user.exe
OpenComm                        user.exe
OpenFile                        kernel.exe
OpenIcon                        user.exe
OpenSound                       sound.drv
PaintRgn                        gdi.exe
PatBlt                          gdi.exe
PeekMessage                     user.exe
Pie                             gdi.exe
PlayMetaFile                    gdi.exe
PlayMetaFileRecord              gdi.exe
Polygon                         gdi.exe
Polyline                        gdi.exe
PostAppMessage                  user.exe
PostMessage                     user.exe
PostQuitMessage                 user.exe
